lat,lon,member,station,address
54.514807,-1.43129,Great North Air Ambulance,Durham Tees Valley Airport,
54.69523,-2.666818,Great North Air Ambulance,Langwathby,
50.72058,-3.476374,Devon Air Ambulance Trust,Exeter,Exeter International Airport Exeter Devon EX27HQ
50.926714,-3.987978,Devon Air Ambulance Trust,Steve Ford Airbasein North Devon,Steve Ford Airbase Eaglescott Umberleigh Burrington Devon EX379LH
53.469934,-2.387571,North West Air Ambulance Charity,C Ity Heliport Barton Manchester,Liverpool Road Manchester M307SA
50.981636,-2.35877,Dorsetand Somerset Air Ambulance,Henstridge Airfield,Henstridge Airfield The Marsh Templecombe Somerset BA80TN
52.646185,-2.298643,Midlands Air Ambulance Charity,Cosford Airbase,Cosford Albrighton Nr Wolverhampton West Midlands WV73EX
52.064732,-2.156941,Midlands Air Ambulance Charity,Strensham Airbase,M5 Services Northbound Strensham Worcestershire WR80BZ
52.817733,-1.760087,Midlands Air Ambulance Charity,Tatenhill Airbase,Newborough Road Needwood Burton-on- Trent Staffordshire DE139PD
52.210611,0.173581,East Anglian Air Ambulance,Cambridge Airport,Cambridge Airport Newmarket Road Cambridge Cambs CB58UU
51.616134,-1.097302,Thames Valley Air Ambulance,RAF Benson,
52.669686,1.277217,East Anglian Air Ambulance,Norwich Airport,Norwich Airport HangarE Gambling Close Norwich Norfolk NR66EG
51.908582,0.680753,Essex& Herts Air Ambulance,Essex Air Ambulance Earls Colne Airbase,Hangar1 Earls Colne Airfield Earls Colne Colchester Essex CO62NS
51.718601,0.150397,Essex& Herts Air Ambulance,Herts Air Ambulance Airbase,Hangar7 North Weald Airfield North Weald Essex CM166HR
51.21183,-1.594992,Hampshireand Isleof Wight Air Ambulance,Thruxton Airbase,
50.432547,-4.984103,Cornwall Air Ambulance Trust,Charityand OperationsHQ,Cornwall Air Ambulance TrustHQ Trevithick Downs Newquay Cornwall TR84DY
55.861916,-4.29611,Scottish Ambulance Service,Glasgow Rotary,City Heliport110 Stobcross Road Glasgow Lanarkshire G38QQ
57.540559,-4.04193,Scottish Ambulance Service,Inverness Rotary,Inverness Airport Inverness IV27JB
55.871636,-4.424451,Scottish Ambulance Service,Glasgow Fixed-wing,Scottish Air Ambulance DivisionalHQ180 Abbotsinch Road Paisley Renfrewshire PA32RY
57.202689,-2.192773,Scottish Ambulance Service,Aberdeen Fixed-wing,Hangar3 Aberdeen Airport East Farburn Terrace Aberdeen AB217DT
52.371355,-1.482232,The Air Ambulance Service,Coventry Airport,
52.830692,-1.332328,The Air Ambulance Service,East Midlands Airport,
54.206480,-1.395914,Yorkshire Air Ambulance,RAF Topcliffe,
53.650300,-1.387187,Yorkshire Air Ambulance,The Nostell Priory Estate,
53.77182,-3.033922,North West Air Ambulance Charity,Blackpool Airport,
51.698501,-4.121069,Wales Air Ambulance Charity,CharityH Qand South Base,TÅ· Elusen Ffordd Angel Llanelli Gate Dafen Llanelli SA148LQ
53.100497,-4.335265,Wales Air Ambulance Charity,North Base,Caernarfon Airport Dinas Dinlle Caernarfon LL545TP
52.631010,-3.149343,Wales Air Ambulance Charity,Mid Base,Mid Wales Airport Welshpool SY218SG
52.354786,-0.106816,Magpas Air Ambulance,RAF Wyton Cambridgeshire,
53.166322,-0.523868,Lincolnshireand Nottinghamshire Air Ambulance Trust,RAF Waddington Lincolnshire,
51.177129,0.48541,Kent Surrey& Sussex Air Ambulance,MardenHQ,
51.519205,-2.588267,Great Western Air Ambulance Charity,Filton Airport Bristol,
51.21977,-0.143093,Kent Surrey& Sussex Air Ambulance,Redhill,
56.436429,-3.373961,Scotland's Charity Air Ambulance,Scotland's Charity Air Ambulance,The Control Tower Perth Airport Scone Perth Perthshire PH26PL
51.356091,-1.983709,Wiltshire Air Ambulance,Operations Centre,London Road Devizes Wiltshire SN102DN
51.517982,-0.0598,London's Air Ambulance,London's Helipad,
53.389991,-3.023009,North West Air Ambulance Charity,Birkenhead,
51.467875,-3.137954,Wales Air Ambulance Charity,South Base( East),Cardiff Heliport Foreshore Road Cardiff CF104LZ
54.597812,-5.930712,Air Ambulance Northern Ireland,Headquarters,Moore Stephens(NI)LLP Donegal House7 Donegal Square North Belfast BT15EB
